,Date,abbreviation,Confirmed,Deceased,Recovered,State,population,Total Doses Administered
0,2021-01-02,AN,1,0,7,Andaman and Nicobar Islands,380581,2060
1,2021-01-02,AP,238,3,279,Andhra Pradesh,49700000,133642
2,2021-01-02,AR,8,0,10,Arunachal Pradesh,1383727,6668
3,2021-01-02,AS,38,2,80,Assam,31205576,32329
4,2021-01-02,BR,397,3,490,Bihar,104099452,144845
5,2021-01-02,CH,66,1,117,Chandigarh,1055450,2390
6,2021-01-02,CT,1147,11,1963,Chhattisgarh,25545198,61482
7,2021-01-02,DL,494,14,496,Delhi,"16,787,941",52760
8,2021-01-02,GA,95,0,104,Goa,1458545,3860
9,2021-01-02,GJ,741,5,922,Gujarat,60439692,284170
10,2021-01-02,HP,149,2,339,Himachal Pradesh,6864602,28464
11,2021-01-02,HR,239,4,425,Haryana,25351462,96304
12,2021-01-02,JH,151,4,205,Jharkhand,32988134,39147
13,2021-01-02,JK,244,1,260,Jammu and Kashmir,12541302,21322
14,2021-01-02,KA,755,3,976,Karnataka,61095297,249931
15,2021-01-02,KL,5328,21,4985,Kerala,33406061,173482
16,2021-01-02,LD,0,0,0,Lakshadweep,"64,473",807
17,2021-01-02,MH,3218,51,2110,Maharashtra,112374333,275348
18,2021-01-02,ML,40,0,88,Meghalaya,2966889,3317
19,2021-01-02,MN,37,1,40,Manipur,2855794,3321
20,2021-01-02,MP,731,9,855,Madhya Pradesh,72626809,286538
21,2021-01-02,MZ,3,0,3,Mizoram,1097206,8462
22,2021-01-02,NL,0,0,5,Nagaland,1978502,3535
23,2021-01-02,PB,242,15,315,Punjab,27743338,47903
24,2021-01-02,RJ,467,5,890,Rajasthan,68548437,313321
25,2021-01-02,SK,10,1,13,Sikkim,610577,1855
26,2021-01-02,TG,293,2,535,Telangana,35200000,95234
27,2021-01-02,TN,910,11,1007,Tamil Nadu,72147030,85002
28,2021-01-02,TN,910,11,1007,Tamil Nadu,67900000,85002
29,2021-01-02,TR,8,0,16,Tripura,3673917,22996
30,2021-01-02,TR,8,0,16,Tripura,3600000,22996
31,2021-01-02,UP,682,8,1190,Uttar Pradesh,199812341,434549
32,2021-01-02,UT,263,7,463,Uttarakhand,10086292,32705
33,2021-01-02,WB,863,28,1443,West Bengal,91276115,238178
34,2021-01-03,AN,1,0,9,Andaman and Nicobar Islands,380581,7989
35,2021-01-03,AP,232,4,352,Andhra Pradesh,49700000,673767
36,2021-01-03,AR,5,0,7,Arunachal Pradesh,1383727,32865
37,2021-01-03,AS,15,1,60,Assam,31205576,223134
38,2021-01-03,BR,282,2,631,Bihar,104099452,637549
39,2021-01-03,CH,16,1,54,Chandigarh,1055450,18567
40,2021-01-03,CT,714,14,1237,Chhattisgarh,25545198,428473
41,2021-01-03,DL,424,14,708,Delhi,"16,787,941",406431
42,2021-01-03,GA,65,2,83,Goa,1458545,22620
43,2021-01-03,GJ,715,4,938,Gujarat,60439692,989369
44,2021-01-03,HP,67,6,433,Himachal Pradesh,6864602,121420
45,2021-01-03,HR,218,2,450,Haryana,25351462,280181
46,2021-01-03,JH,137,1,159,Jharkhand,32988134,313438
47,2021-01-03,JK,182,1,205,Jammu and Kashmir,12541302,238075
48,2021-01-03,KA,810,8,743,Karnataka,61095297,833025
49,2021-01-03,KL,4600,25,4668,Kerala,33406061,593333
50,2021-01-03,LD,0,0,0,Lakshadweep,"64,473",1931
51,2021-01-03,MH,3282,35,2064,Maharashtra,112374333,1187178
52,2021-01-03,ML,12,0,13,Meghalaya,2966889,43820
53,2021-01-03,MN,38,1,33,Manipur,2855794,50565
54,2021-01-03,MP,724,14,947,Madhya Pradesh,72626809,804378
55,2021-01-03,MZ,4,0,18,Mizoram,1097206,27558
56,2021-01-03,NL,1,0,9,Nagaland,1978502,32408
57,2021-01-03,PB,207,12,263,Punjab,27743338,181693
58,2021-01-03,RJ,502,5,801,Rajasthan,68548437,1010422
59,2021-01-03,SK,9,0,33,Sikkim,610577,19112
60,2021-01-03,TG,394,3,574,Telangana,35200000,419089
61,2021-01-03,TN,867,10,1002,Tamil Nadu,72147030,319966
62,2021-01-03,TN,867,10,1002,Tamil Nadu,67900000,319966
63,2021-01-03,TR,6,0,14,Tripura,3673917,109091
64,2021-01-03,TR,6,0,14,Tripura,3600000,109091
65,2021-01-03,UP,737,16,1179,Uttar Pradesh,199812341,1668631
