Date,state,Confirmed,Deceased,Recovered
2020-03-14,AN,0,0,0
2020-03-14,AP,1,0,0
2020-03-14,AR,0,0,0
2020-03-14,AS,0,0,0
2020-03-14,BR,0,0,0
2020-03-14,CH,0,0,0
2020-03-14,CT,0,0,0
2020-03-14,DD,0,0,0
2020-03-14,DL,7,1,1
2020-03-14,DN,0,0,0
2020-03-14,GA,0,0,0
2020-03-14,GJ,0,0,0
2020-03-14,HP,0,0,0
2020-03-14,HR,14,0,0
2020-03-14,JH,0,0,0
2020-03-14,JK,2,0,0
2020-03-14,KA,6,1,0
2020-03-14,KL,19,0,3
2020-03-14,LA,0,0,0
2020-03-14,LD,0,0,0
2020-03-14,MH,14,0,0
2020-03-14,ML,0,0,0
2020-03-14,MN,0,0,0
2020-03-14,MP,0,0,0
2020-03-14,MZ,0,0,0
2020-03-14,NL,0,0,0
2020-03-14,OR,0,0,0
2020-03-14,PB,1,0,0
2020-03-14,PY,0,0,0
2020-03-14,RJ,3,0,1
2020-03-14,SK,0,0,0
2020-03-14,TG,1,0,0
2020-03-14,TN,1,0,0
2020-03-14,TR,0,0,0
2020-03-14,TT,81,2,9
2020-03-14,UN,0,0,0
2020-03-14,UP,12,0,4
2020-03-14,UT,0,0,0
2020-03-14,WB,0,0,0
2020-03-15,AN,0,0,0
2020-03-15,AP,0,0,0
2020-03-15,AR,0,0,0
2020-03-15,AS,0,0,0
2020-03-15,BR,0,0,0
2020-03-15,CH,0,0,0
2020-03-15,CT,0,0,0
2020-03-15,DD,0,0,0
2020-03-15,DL,0,0,1
2020-03-15,DN,0,0,0
2020-03-15,GA,0,0,0
2020-03-15,GJ,0,0,0
2020-03-15,HP,0,0,0
2020-03-15,HR,0,0,0
2020-03-15,JH,0,0,0
2020-03-15,JK,0,0,0
2020-03-15,KA,0,0,0
2020-03-15,KL,5,0,0
2020-03-15,LA,0,0,0
2020-03-15,LD,0,0,0
2020-03-15,MH,18,0,0
2020-03-15,ML,0,0,0
2020-03-15,MN,0,0,0
2020-03-15,MP,0,0,0
2020-03-15,MZ,0,0,0
2020-03-15,NL,0,0,0
2020-03-15,OR,0,0,0
2020-03-15,PB,0,0,0
2020-03-15,PY,0,0,0
2020-03-15,RJ,1,0,2
2020-03-15,SK,0,0,0
2020-03-15,TG,2,0,1
2020-03-15,TN,0,0,0
2020-03-15,TR,0,0,0
2020-03-15,TT,27,0,4
2020-03-15,UN,0,0,0
2020-03-15,UP,1,0,0
2020-03-15,UT,0,0,0
2020-03-15,WB,0,0,0
2020-03-16,AN,0,0,0
2020-03-16,AP,0,0,0
2020-03-16,AR,0,0,0
2020-03-16,AS,0,0,0
2020-03-16,BR,0,0,0
2020-03-16,CH,0,0,0
2020-03-16,CT,0,0,0
2020-03-16,DD,0,0,0
2020-03-16,DL,0,0,0
2020-03-16,DN,0,0,0
2020-03-16,GA,0,0,0
2020-03-16,GJ,0,0,0
2020-03-16,HP,0,0,0
2020-03-16,HR,0,0,0
2020-03-16,JH,0,0,0
2020-03-16,JK,1,0,0
2020-03-16,KA,1,0,0
2020-03-16,KL,3,0,0
2020-03-16,LA,0,0,0
2020-03-16,LD,0,0,0
2020-03-16,MH,6,0,0
2020-03-16,ML,0,0,0
2020-03-16,MN,0,0,0
2020-03-16,MP,0,0,0
2020-03-16,MZ,0,0,0
2020-03-16,NL,0,0,0
2020-03-16,OR,1,0,0
2020-03-16,PB,0,0,0
2020-03-16,PY,1,0,0
2020-03-16,RJ,0,0,0
2020-03-16,SK,0,0,0
2020-03-16,TG,1,0,0
2020-03-16,TN,0,0,1
2020-03-16,TR,0,0,0
2020-03-16,TT,15,0,1
