State,abbreviation,population
Andhra Pradesh,AP,49700000
Arunachal Pradesh,AR,1383727
Assam,AS,31205576
Bihar,BR,104099452
Chhattisgarh,CT,25545198
Goa,GA,1458545
Gujarat,GJ,60439692
Haryana,HR,25351462
Himachal Pradesh,HP,6864602
Jammu and Kashmir,JK,12541302
Jharkhand,JH,32988134
Karnataka,KA,61095297
Kerala,KL,33406061
Madhya Pradesh,MP,72626809
Maharashtra,MH,112374333
Manipur,MN,2855794
Meghalaya,ML,2966889
Mizoram,MZ,1097206
Nagaland,NL,1978502
Orissa,OR,41974218
Punjab,PB,27743338
Rajasthan,RJ,68548437
Sikkim,SK,610577
Tamil Nadu,TN,72147030
Tripura,TR,3673917
Uttarakhand,UT,10086292
Uttar Pradesh,UP,199812341
West Bengal,WB,91276115
Tamil Nadu,TN,67900000
Tripura,TR,3600000
Andaman and Nicobar Islands,AN,380581
Chandigarh,CH,1055450
Dadra and Nagar Haveli,DN,344000
Daman and diu,DD,52076
Delhi,DL,"16,787,941"
Lakshadweep,LD,"64,473"
Pondicherry,PY,"1,247,953"
Telangana,TG,35200000
Total,India,1366400000
