state_name,state,population
Andhra Pradesh,AP,53903393
Arunachal Pradesh,AR,1570458
Assam,AS,35607039
Bihar,BR,124799926
Chhattisgarh,CT,29436231
Goa,GA,1586250
Gujarat,GJ,63872399
Haryana,HR,28204692
Himachal Pradesh,HP,7451955
Jammu and Kashmir,JK,13606320
Jharkhand,JH,38593948
Karnataka,KA,67562686
Kerala,KL,35699443
Madhya Pradesh,MP,85358965
Maharashtra,MH,123144223
Manipur,MN,3091545
Meghalaya,ML,3366710
Mizoram,MZ,1239244
Nagaland,NL,2249695
Orissa,OR,46356334
Punjab,PB,30141373
Rajasthan,RJ,81032689
Sikkim,SK,690251
Tamil Nadu,TN,77841267
Tripura,TR,4169794
Uttarakhand,UT,11250858
Uttar Pradesh,UP,237882725
West Bengal,WB,99609303
Tamil Nadu,TN,77841267
Ladakh,LA,289023
Andaman and Nicobar Islands,AN,410581
Chandigarh,CH,1158473
Dadra and Nagar Haveli,DN,615724
Daman and diu,DD,615724
Delhi,DL,18710922
Lakshadweep,LD,73183
Pondicherry,PY,1413542
Telangana,TG,39362732
Total,India,1366400000
,,
