,Date,State,Total Doses Administered
0,2021-01-16,India,48276
1,2021-01-17,India,58604
2,2021-01-18,India,99449
3,2021-01-19,India,195525
4,2021-01-20,India,251280
5,2021-01-21,India,365965
6,2021-01-22,India,549381
7,2021-01-23,India,759008
8,2021-01-24,India,835058
9,2021-01-25,India,1277104
10,2021-01-26,India,1293784
11,2021-01-27,India,1726490
12,2021-01-28,India,2295491
13,2021-01-29,India,2814803
14,2021-01-30,India,3067736
15,2021-01-31,India,3127107
16,2021-01-02,India,3350265
17,2021-02-02,India,3527971
18,2021-03-02,India,3825835
19,2021-04-02,India,4314304
20,2021-05-02,India,4765924
21,2021-06-02,India,5111827
22,2021-07-02,India,5168099
23,2021-08-02,India,5615499
24,2021-09-02,India,6002474
25,2021-10-02,India,6462270
26,2021-11-02,India,6958553
27,2021-12-02,India,7423817
28,2021-02-13,India,7708211
29,2021-02-14,India,7732278
30,2021-02-15,India,8253651
31,2021-02-16,India,8577226
32,2021-02-17,India,9023239
33,2021-02-18,India,9338267
34,2021-02-19,India,10241508
35,2021-02-20,India,10619113
36,2021-02-21,India,10651012
37,2021-02-22,India,11243679
38,2021-02-23,India,11597768
39,2021-02-24,India,12042958
40,2021-02-25,India,12819074
41,2021-02-26,India,13560932
42,2021-02-27,India,13560983
43,2021-02-28,India,13561208
44,2021-01-03,India,13561208
45,2021-02-03,India,14533954
46,2021-03-03,India,15383883
47,2021-04-03,India,16535703
48,2021-05-03,India,17871673
49,2021-06-03,India,19170828
50,2021-07-03,India,19288666
51,2021-08-03,India,21038500
52,2021-09-03,India,22357332
53,2021-10-03,India,23631687
54,2021-11-03,India,23963345
55,2021-12-03,India,25888160
56,2021-03-13,India,27345191
57,2021-03-14,India,27510644
58,2021-03-15,India,29901947
59,2021-03-16,India,31845467
60,2021-03-17,India,33784295
61,2021-03-18,India,35923500
62,2021-03-19,India,38190187
63,2021-03-20,India,40553202
64,2021-03-21,India,41295916
65,2021-03-22,India,43674739
66,2021-03-23,India,46266906
67,2021-03-24,India,48380510
68,2021-03-25,India,50550172
69,2021-03-26,India,52823677
70,2021-03-27,India,54876680
71,2021-03-28,India,55180875
72,2021-03-29,India,55726518
73,2021-03-30,India,57363862
74,2021-03-31,India,59176367
75,2021-01-04,India,61535994
76,2021-02-04,India,64779667
77,2021-03-04,India,67519463
78,2021-01-16,Andaman and Nicobar Islands,23
79,2021-01-17,Andaman and Nicobar Islands,23
80,2021-01-18,Andaman and Nicobar Islands,42
81,2021-01-19,Andaman and Nicobar Islands,89
82,2021-01-20,Andaman and Nicobar Islands,124
83,2021-01-21,Andaman and Nicobar Islands,239
84,2021-01-22,Andaman and Nicobar Islands,552
85,2021-01-23,Andaman and Nicobar Islands,920
86,2021-01-24,Andaman and Nicobar Islands,966
87,2021-01-25,Andaman and Nicobar Islands,1519
88,2021-01-26,Andaman and Nicobar Islands,1519
89,2021-01-27,Andaman and Nicobar Islands,1519
90,2021-01-28,Andaman and Nicobar Islands,1956
91,2021-01-29,Andaman and Nicobar Islands,2024
92,2021-01-30,Andaman and Nicobar Islands,2060
93,2021-01-31,Andaman and Nicobar Islands,2060
94,2021-01-02,Andaman and Nicobar Islands,2060
95,2021-02-02,Andaman and Nicobar Islands,2060
96,2021-03-02,Andaman and Nicobar Islands,2107
97,2021-04-02,Andaman and Nicobar Islands,2290
98,2021-05-02,Andaman and Nicobar Islands,2514
99,2021-06-02,Andaman and Nicobar Islands,2780
100,2021-07-02,Andaman and Nicobar Islands,2780
101,2021-08-02,Andaman and Nicobar Islands,2780
102,2021-09-02,Andaman and Nicobar Islands,2780
103,2021-10-02,Andaman and Nicobar Islands,2780
104,2021-11-02,Andaman and Nicobar Islands,2780
105,2021-12-02,Andaman and Nicobar Islands,2852
106,2021-02-13,Andaman and Nicobar Islands,3040
107,2021-02-14,Andaman and Nicobar Islands,3040
108,2021-02-15,Andaman and Nicobar Islands,3467
109,2021-02-16,Andaman and Nicobar Islands,3467
110,2021-02-17,Andaman and Nicobar Islands,3664
111,2021-02-18,Andaman and Nicobar Islands,3846
112,2021-02-19,Andaman and Nicobar Islands,4898
113,2021-02-20,Andaman and Nicobar Islands,5653
114,2021-02-21,Andaman and Nicobar Islands,5653
115,2021-02-22,Andaman and Nicobar Islands,6856
116,2021-02-23,Andaman and Nicobar Islands,7058
117,2021-02-24,Andaman and Nicobar Islands,7240
118,2021-02-25,Andaman and Nicobar Islands,7763
119,2021-02-26,Andaman and Nicobar Islands,7989
120,2021-02-27,Andaman and Nicobar Islands,7989
121,2021-02-28,Andaman and Nicobar Islands,7989
122,2021-01-03,Andaman and Nicobar Islands,7989
123,2021-02-03,Andaman and Nicobar Islands,8724
124,2021-03-03,Andaman and Nicobar Islands,8837
125,2021-04-03,Andaman and Nicobar Islands,9361
126,2021-05-03,Andaman and Nicobar Islands,9897
127,2021-06-03,Andaman and Nicobar Islands,10498
128,2021-07-03,Andaman and Nicobar Islands,11101
129,2021-08-03,Andaman and Nicobar Islands,12004
130,2021-09-03,Andaman and Nicobar Islands,12307
131,2021-10-03,Andaman and Nicobar Islands,12566
132,2021-11-03,Andaman and Nicobar Islands,13138
133,2021-12-03,Andaman and Nicobar Islands,13786
134,2021-03-13,Andaman and Nicobar Islands,14133
135,2021-03-14,Andaman and Nicobar Islands,14217
136,2021-03-15,Andaman and Nicobar Islands,14588
137,2021-03-16,Andaman and Nicobar Islands,14929
138,2021-03-17,Andaman and Nicobar Islands,15125
139,2021-03-18,Andaman and Nicobar Islands,15674
140,2021-03-19,Andaman and Nicobar Islands,16132
141,2021-03-20,Andaman and Nicobar Islands,16860
142,2021-03-21,Andaman and Nicobar Islands,16884
143,2021-03-22,Andaman and Nicobar Islands,17406
144,2021-03-23,Andaman and Nicobar Islands,18330
145,2021-03-24,Andaman and Nicobar Islands,18837
146,2021-03-25,Andaman and Nicobar Islands,19357
147,2021-03-26,Andaman and Nicobar Islands,19776
148,2021-03-27,Andaman and Nicobar Islands,20285
149,2021-03-28,Andaman and Nicobar Islands,20287
150,2021-03-29,Andaman and Nicobar Islands,20288
151,2021-03-30,Andaman and Nicobar Islands,20658
152,2021-03-31,Andaman and Nicobar Islands,20704
153,2021-01-04,Andaman and Nicobar Islands,21211
154,2021-02-04,Andaman and Nicobar Islands,21302
155,2021-03-04,Andaman and Nicobar Islands,21712
156,2021-01-16,Andhra Pradesh,4216
157,2021-01-17,Andhra Pradesh,9251
158,2021-01-18,Andhra Pradesh,12234
159,2021-01-19,Andhra Pradesh,25539
160,2021-01-20,Andhra Pradesh,35901
161,2021-01-21,Andhra Pradesh,45040
162,2021-01-22,Andhra Pradesh,55697
163,2021-01-23,Andhra Pradesh,70380
164,2021-01-24,Andhra Pradesh,74221
165,2021-01-25,Andhra Pradesh,89879
166,2021-01-26,Andhra Pradesh,90616
167,2021-01-27,Andhra Pradesh,107999
168,2021-01-28,Andhra Pradesh,117543
169,2021-01-29,Andhra Pradesh,124647
170,2021-01-30,Andhra Pradesh,133571
171,2021-01-31,Andhra Pradesh,133623
172,2021-01-02,Andhra Pradesh,133642
173,2021-02-02,Andhra Pradesh,133646
174,2021-03-02,Andhra Pradesh,161302
175,2021-04-02,Andhra Pradesh,188704
176,2021-05-02,Andhra Pradesh,218899
177,2021-06-02,Andhra Pradesh,245938
178,2021-07-02,Andhra Pradesh,249205
179,2021-08-02,Andhra Pradesh,263588
180,2021-09-02,Andhra Pradesh,275654
181,2021-10-02,Andhra Pradesh,286401
182,2021-11-02,Andhra Pradesh,294574
183,2021-12-02,Andhra Pradesh,303031
184,2021-02-13,Andhra Pradesh,319740
185,2021-02-14,Andhra Pradesh,319743
186,2021-02-15,Andhra Pradesh,345830
187,2021-02-16,Andhra Pradesh,370880
188,2021-02-17,Andhra Pradesh,402851
189,2021-02-18,Andhra Pradesh,414038
190,2021-02-19,Andhra Pradesh,476505
191,2021-02-20,Andhra Pradesh,501288
192,2021-02-21,Andhra Pradesh,509044
193,2021-02-22,Andhra Pradesh,534507
194,2021-02-23,Andhra Pradesh,559483
195,2021-02-24,Andhra Pradesh,596327
196,2021-02-25,Andhra Pradesh,639187
197,2021-02-26,Andhra Pradesh,673767
198,2021-02-27,Andhra Pradesh,673767
199,2021-02-28,Andhra Pradesh,673767
200,2021-01-03,Andhra Pradesh,673767
201,2021-02-03,Andhra Pradesh,702035
202,2021-03-03,Andhra Pradesh,724119
203,2021-04-03,Andhra Pradesh,749445
204,2021-05-03,Andhra Pradesh,785259
205,2021-06-03,Andhra Pradesh,836177
206,2021-07-03,Andhra Pradesh,836337
207,2021-08-03,Andhra Pradesh,886175
208,2021-09-03,Andhra Pradesh,935344
209,2021-10-03,Andhra Pradesh,979403
210,2021-11-03,Andhra Pradesh,988197
211,2021-12-03,Andhra Pradesh,1040791
212,2021-03-13,Andhra Pradesh,1085975
213,2021-03-14,Andhra Pradesh,1086785
214,2021-03-15,Andhra Pradesh,1164570
215,2021-03-16,Andhra Pradesh,1236681
216,2021-03-17,Andhra Pradesh,1311754
217,2021-03-18,Andhra Pradesh,1398528
218,2021-03-19,Andhra Pradesh,1488851
