date,text
2021-04-17 15:01:48,"b'RT @krishna94539696: Govt aids Bharat Biotech with  \xe2\x82\xb965 crore grant, 3 PSUs\xe2\x80\x99 support to make Covaxin https://t.co/8Yoh9FWlDO'"
2021-04-17 15:01:38,"b""RT @Zizezkianism: India's covaxin is being rejected in Brazil because our idiots didn't deactivate the virus and ended up giving Covid inst\xe2\x80\xa6"""
2021-04-17 15:01:08,b'RT @siddharth3: An exceptional piece on the process of making Covaxin and testing for its safety. (I wish more journalism was this good. Ex\xe2\x80\xa6'
2021-04-17 15:00:58,"b""RT @GauravPandhi: One more of @RahulGandhi's suggestions have been accepted by the Govt. \n\n9 April: Provide suppliers with necessary resour\xe2\x80\xa6"""
2021-04-17 15:00:15,b'RT @BrarH3M: @cocoshumbo @kapsology @RoflEpicDon Moderna. 100% efficacy against all known COVID strains. They surely took it long back as s\xe2\x80\xa6'
2021-04-17 14:59:46,"b'#BJYMCares\n\nHi, My mother and I took Covaxin in Govt hospital. However, when we went today for second dose, they to\xe2\x80\xa6 https://t.co/fOWHSC8PoA'"
2021-04-17 14:59:21,"b'RT @CMOMaharashtra: The Dept of Science &amp; Technology, Government of India, has granted approval to Haffkine Institute to produce Bharat Bio\xe2\x80\xa6'"
2021-04-17 14:59:20,"b""RT @GauravPandhi: One more of @RahulGandhi's suggestions have been accepted by the Govt. \n\n9 April: Provide suppliers with necessary resour\xe2\x80\xa6"""
2021-04-17 14:59:08,b'RT @vinayvaani: @ANI India was duty bound to export Covishield as it was developed in partnership with Britain.\nAnd by the way! Has Rahul G\xe2\x80\xa6'
2021-04-17 14:58:11,"b'Rajneeti News (Covaxin supply to double by May : The Tribune India)  \n\nTribune News Service\nNew Delhi, April 16\nRee\xe2\x80\xa6 https://t.co/jnrC134vfl'"
2021-04-17 14:57:38,b'RT @anbezhil12: #Vivek had vaccinated with #Covaxin not #Covishield which has the clot problem if at all from Astra Zeneca model. Covaxin i\xe2\x80\xa6'
2021-04-17 14:57:34,b'RT @PplOfIndia: Modi to ramp up production of Covaxin multifold.  PSUs will manufacture the drug on the basis of transfer of technology. Go\xe2\x80\xa6'
2021-04-17 14:57:31,b'RT @siddharth3: An exceptional piece on the process of making Covaxin and testing for its safety. (I wish more journalism was this good. Ex\xe2\x80\xa6'
2021-04-17 14:57:31,b'RT @Broufus: Now that we know that Covaxin is not deactivating the virus in their vaccines.\nThe question to ask is 1. How many vaccine take\xe2\x80\xa6'
2021-04-17 14:56:16,b'RT @anbezhil12: #Vivek had vaccinated with #Covaxin not #Covishield which has the clot problem if at all from Astra Zeneca model. Covaxin i\xe2\x80\xa6'
2021-04-17 14:55:53,"b'RT @SidShirole: #COVAXIN 2nd Dose is available at Joshi Hospital, Kamala Nehru Park #Shivajinagar. Do #WalkIn\nPlease note this is only for\xe2\x80\xa6'"
2021-04-17 14:55:27,"b'RT @PriyankaPulla: Incidentally, here is Bharat Biotech saying it is agreeing to the conditions laid down by Anvisa. But that it will take\xe2\x80\xa6'"
2021-04-17 14:54:59,b'@danishkwrites This is Covaxin. We have covishield here'
2021-04-17 14:54:59,b'@Chatterj1Asking Covaxin...no side effects'
2021-04-17 14:53:59,b'RT @misterjewels: Looks like covaxin is more dangerous than blood clotting other vaccines. Avoid covaxin if you can @midhatkidwai @Nadeem_g\xe2\x80\xa6'
2021-04-17 14:53:36,b'RT @SaketGokhale: Exclusive: Was India\xe2\x80\x99s \xe2\x80\x9cvaccine export\xe2\x80\x9d an elaborate scam?\n\nGovt of India tells me that it initially procured 5.6 crore d\xe2\x80\xa6'
